name,total_pairs,pairs_covered,pairs_occurring_once,pairs_occurring_more_than_once,ncommits,nfiles
fenixedu-academic,554927955.0,818586,704976,113610,24691,33315
edition,1044735.0,15151,10456,4695,754,1446
irida,2828631.0,53497,35087,18410,10900,2379
webofneeds,7187736.0,114456,85291,29165,3429,3792
cloudunit,324415.0,22088,17218,4870,750,806
splunkwithaws-destination,574056.0,23851,15151,8700,2016,1072
FengHuang,442270.0,25558,20914,4644,305,941
hexie,330891.0,31933,17497,14436,1232,814
quizzes-tutor,178503.0,22927,13484,9443,799,598
market-manage,212226.0,11110,8619,2491,760,652
petclinic,30135.0,9173,5949,3224,231,246
